WARNING:easyocr.easyocr:Using CPU. Note: This module is much faster with a GPU.
INFO:root:[Frame Total] CPU Time: 0.1719 s, Memory: 1229.93 MB
INFO:root:[YOLO] CPU Time: 0.2188 s, Memory: 1252.51 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1252.51 MB
INFO:root:[Frame Total] CPU Time: 0.2344 s, Memory: 1252.51 MB
INFO:root:[YOLO] CPU Time: 0.1719 s, Memory: 1252.51 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1252.51 MB
INFO:root:[Frame Total] CPU Time: 0.1719 s, Memory: 1252.51 MB
INFO:root:[YOLO] CPU Time: 0.1562 s, Memory: 1252.52 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1252.52 MB
INFO:root:[Frame Total] CPU Time: 0.1719 s, Memory: 1252.52 MB
INFO:root:[YOLO] CPU Time: 0.1562 s, Memory: 1252.52 MB
INFO:root:[OCR] CPU Time: 2.1875 s, Memory: 1257.38 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1257.38 MB
INFO:root:[Frame Total] CPU Time: 2.3750 s, Memory: 1257.38 MB
INFO:root:[YOLO] CPU Time: 0.1719 s, Memory: 1259.16 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1259.16 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1259.16 MB
INFO:root:[Frame Total] CPU Time: 0.2188 s, Memory: 1259.16 MB
INFO:root:[YOLO] CPU Time: 0.1406 s, Memory: 1259.16 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1259.16 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1259.16 MB
INFO:root:[Frame Total] CPU Time: 0.1875 s, Memory: 1259.16 MB
INFO:root:[YOLO] CPU Time: 0.1719 s, Memory: 1259.16 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1259.16 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1259.16 MB
INFO:root:[Frame Total] CPU Time: 0.2344 s, Memory: 1259.16 MB
INFO:root:[YOLO] CPU Time: 0.1406 s, Memory: 1259.89 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1259.89 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1259.89 MB
INFO:root:[Frame Total] CPU Time: 0.1719 s, Memory: 1239.63 MB
INFO:root:[YOLO] CPU Time: 0.1562 s, Memory: 1245.29 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1247.29 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1248.54 MB
INFO:root:[Frame Total] CPU Time: 0.2031 s, Memory: 1251.97 MB
INFO:root:[YOLO] CPU Time: 0.1094 s, Memory: 1263.97 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1263.97 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1263.97 MB
INFO:root:[Frame Total] CPU Time: 0.1719 s, Memory: 1263.97 MB
INFO:root:[YOLO] CPU Time: 0.2344 s, Memory: 1264.04 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1264.04 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1264.04 MB
INFO:root:[Frame Total] CPU Time: 0.2344 s, Memory: 1264.04 MB
INFO:root:[YOLO] CPU Time: 0.1406 s, Memory: 1241.64 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1243.39 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1244.52 MB
INFO:root:[Frame Total] CPU Time: 0.1406 s, Memory: 1247.77 MB
INFO:root:[YOLO] CPU Time: 0.3594 s, Memory: 1264.04 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1264.04 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1264.04 MB
INFO:root:[Frame Total] CPU Time: 0.3750 s, Memory: 1264.05 MB
INFO:root:[YOLO] CPU Time: 0.1562 s, Memory: 1264.05 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1264.05 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1264.05 MB
INFO:root:[Frame Total] CPU Time: 0.1562 s, Memory: 1264.05 MB
INFO:root:[YOLO] CPU Time: 0.1719 s, Memory: 1264.05 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1264.05 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1264.05 MB
INFO:root:[Frame Total] CPU Time: 0.1719 s, Memory: 1264.05 MB
INFO:root:[YOLO] CPU Time: 0.2344 s, Memory: 1264.05 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1264.05 MB
INFO:root:[OCR] CPU Time: 2.4844 s, Memory: 1264.93 MB
INFO:root:[Frame Total] CPU Time: 2.7812 s, Memory: 1264.95 MB
INFO:root:[YOLO] CPU Time: 0.1406 s, Memory: 1252.83 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1254.83 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1255.83 MB
INFO:root:[Frame Total] CPU Time: 0.1875 s, Memory: 1259.39 MB
INFO:root:[YOLO] CPU Time: 0.1875 s, Memory: 1265.08 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1265.08 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1265.08 MB
INFO:root:[Frame Total] CPU Time: 0.2500 s, Memory: 1265.08 MB
