epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,1798,0.4446,0.31785,0.85782,0.38159,0.26943,0.26198,0.20403,2.03584,3.26301,2.47678,3.56141e-05,3.56141e-05,3.56141e-05
170,1807.97,0.43471,0.30589,0.86076,0.39781,0.26473,0.25669,0.19921,2.04305,3.27002,2.48298,3.3768e-05,3.3768e-05,3.3768e-05
171,1818.26,0.45085,0.31393,0.85581,0.38893,0.26708,0.26327,0.20464,2.04758,3.26971,2.49363,3.19759e-05,3.19759e-05,3.19759e-05
172,1829.17,0.43078,0.30877,0.8507,0.3843,0.2691,0.25751,0.20063,2.03938,3.28052,2.47357,3.02382e-05,3.02382e-05,3.02382e-05
173,1840.11,0.4476,0.31418,0.87192,0.381,0.26942,0.25161,0.1949,2.04596,3.30992,2.4856,2.85553e-05,2.85553e-05,2.85553e-05
174,1850.97,0.42847,0.30294,0.85944,0.39111,0.26613,0.25327,0.19699,2.05161,3.30215,2.49582,2.69277e-05,2.69277e-05,2.69277e-05
175,1861.65,0.43565,0.31183,0.86142,0.3862,0.26672,0.25945,0.20051,2.05891,3.28156,2.50533,2.53557e-05,2.53557e-05,2.53557e-05
176,1872.01,0.42432,0.30216,0.855,0.38434,0.26875,0.26517,0.20548,2.06196,3.26585,2.50379,2.38398e-05,2.38398e-05,2.38398e-05
177,1883.54,0.44836,0.3118,0.86458,0.39835,0.26704,0.26336,0.20481,2.05346,3.2646,2.50244,2.23803e-05,2.23803e-05,2.23803e-05
178,1895.37,0.42182,0.29572,0.85127,0.39115,0.26523,0.25986,0.2026,2.05581,3.2558,2.5072,2.09776e-05,2.09776e-05,2.09776e-05
179,1906.86,0.42256,0.30413,0.85249,0.39062,0.26521,0.2594,0.20132,2.05254,3.25413,2.50222,1.9632e-05,1.9632e-05,1.9632e-05
180,1917.92,0.42396,0.30406,0.85709,0.38442,0.26508,0.25628,0.19895,2.04926,3.2694,2.49883,1.83439e-05,1.83439e-05,1.83439e-05
181,1928.64,0.4361,0.30834,0.86171,0.38505,0.26562,0.25101,0.19554,2.04734,3.28278,2.51145,1.71135e-05,1.71135e-05,1.71135e-05
182,1939.39,0.42101,0.29747,0.86158,0.38712,0.26822,0.24142,0.18805,2.0474,3.26477,2.50787,1.59412e-05,1.59412e-05,1.59412e-05
183,1951.28,0.42817,0.30246,0.86283,0.39039,0.26691,0.24529,0.19122,2.049,3.30062,2.50074,1.48273e-05,1.48273e-05,1.48273e-05
184,1961.17,0.44956,0.31715,0.85823,0.38714,0.26733,0.25783,0.20151,2.0513,3.23923,2.50192,1.3772e-05,1.3772e-05,1.3772e-05
185,1971.94,0.43868,0.30649,0.86803,0.39739,0.26913,0.25853,0.20221,2.05109,3.26582,2.49936,1.27757e-05,1.27757e-05,1.27757e-05
186,1982.84,0.42351,0.30418,0.85058,0.39604,0.26816,0.26097,0.20397,2.05193,3.26693,2.50159,1.18384e-05,1.18384e-05,1.18384e-05
187,1993.69,0.42983,0.30473,0.85332,0.39752,0.26936,0.26141,0.20396,2.05138,3.29068,2.50959,1.09606e-05,1.09606e-05,1.09606e-05
188,2004.84,0.42569,0.29998,0.85949,0.39628,0.26612,0.26143,0.20337,2.04696,3.28047,2.50142,1.01424e-05,1.01424e-05,1.01424e-05
189,2015.62,0.43232,0.3061,0.86192,0.38495,0.26643,0.25641,0.19983,2.05055,3.29222,2.50238,9.38391e-06,9.38391e-06,9.38391e-06
190,2025.43,0.42944,0.31008,0.86197,0.38884,0.26693,0.25757,0.20034,2.0477,3.29014,2.50215,8.68544e-06,8.68544e-06,8.68544e-06
191,2037.11,0.723,0.46758,0.90375,0.41807,0.26607,0.26189,0.20118,2.09143,3.32707,2.67794,8.04714e-06,8.04714e-06,8.04714e-06
192,2047.87,0.70427,0.41754,0.87726,0.44045,0.27277,0.25378,0.19315,2.1034,3.29992,2.6981,7.46914e-06,7.46914e-06,7.46914e-06
193,2058.51,0.69494,0.43079,0.88266,0.42659,0.27277,0.25412,0.19275,2.10998,3.25849,2.69339,6.95161e-06,6.95161e-06,6.95161e-06
194,2069.04,0.6833,0.41498,0.87808,0.42252,0.27277,0.25388,0.1929,2.11217,3.2382,2.69059,6.49466e-06,6.49466e-06,6.49466e-06
195,2078.99,0.68912,0.40886,0.88477,0.44104,0.27112,0.25327,0.19233,2.1111,3.1977,2.68705,6.09841e-06,6.09841e-06,6.09841e-06
196,2088.57,0.69328,0.39815,0.87847,0.44254,0.27,0.25435,0.1932,2.10704,3.1963,2.67774,5.76296e-06,5.76296e-06,5.76296e-06
197,2099.16,0.68894,0.42104,0.87784,0.43414,0.27145,0.25182,0.19162,2.09673,3.21517,2.6645,5.48838e-06,5.48838e-06,5.48838e-06
198,2109.68,0.68745,0.39899,0.86901,0.42895,0.27145,0.25085,0.19102,2.09562,3.16071,2.65651,5.27476e-06,5.27476e-06,5.27476e-06
199,2120.07,0.67797,0.39932,0.8746,0.4221,0.27145,0.2503,0.18979,2.09365,3.1467,2.65155,5.12213e-06,5.12213e-06,5.12213e-06
200,2130.27,0.69361,0.40434,0.87112,0.42019,0.27145,0.24888,0.18889,2.08572,3.16306,2.64257,5.03053e-06,5.03053e-06,5.03053e-06
